,mse,mape
HD,3.9090876545775213e-08,0.00352529988688593
AMAT,4.399287823921711e-07,0.008050056184915376
JNJ,5.043850243146259e-09,0.0007781505663795506
MSFT,1.1920858422130708e-07,0.002703381560807809
XOM,6.479801678877609e-08,0.0070937107963071865
CARR,2.995168874895604e-07,0.007408667429917594
UNH,9.473826746406929e-08,0.003908678438965362
WAT,8.090326089585113e-07,0.006639142284069117
ADSK,9.615571397156962e-08,0.004869101768907242
MTD,1.1827673717082824e-06,0.010044710845210771
V,7.85157668058963e-08,0.0026229833272996233
